Calib;node;Prior
Arthropoda;219;B(5.14,6.361,1e-300,0.025)
Chelicerata;226;B(5.09,5.388,1e-300,0.025)
Colossendeidae;307;B(1.605,5.388,1e-300,0.025)
Phoxichilidioidea;349;B(1.605,5.388,1e-300,0.025)
Ascorhynchidae;334;0
Nymphonoidea;240;0
Ausctrodecidae;290;0
Pycnogonidae;295;0
Endeidae;350;0
Phoxichilidiidae;357;0
Pallenopsidae;374;0
Ammotheidae;392;0
