Mean_time	Mean_qlow	Mean_qup	Priors
t_n377	140.31	105.92	177.38	0
t_n378	110.587	77.94	147.57	0
t_n379	90.98	59.63	128.02	0
t_n380	30.255	16.1	51.65	0
t_n381	149.755	122.52	181.66	0
t_n382	125.753	97.09	158.1	0
t_n383	71.136	42.16	105.62	0
t_n384	33.398	21.74	49	0
t_n385	25.435	15.17	39.7	0
t_n386	123.635	98.16	153.36	0
t_n387	103.928	80.23	131.99	0
t_n388	64.995	43.14	91	0
t_n389	48.579	33.48	67.84	0
t_n390	38.563	25.13	56.36	0
t_n391	10.915	5.99	18.15	0
t_n392_Ammotheidae	305.678	268.88	343.35	0
t_n393	276.184	239.35	314.35	0
t_n394	151.407	93.5	213.76	0
t_n395	238.062	201.32	276.17	0
t_n396	116.052	70.88	169.31	0
t_n397	3.964	1.91	7.24	0
t_n398	206.054	170.13	244	0
t_n399	179.225	144.47	216.56	0
t_n400	142.595	110.34	178.15	0
t_n401	116.368	85.99	150.63	0
t_n402	54.974	34.13	81.5	0
t_n403	289.981	254.25	327.19	0
t_n404	273.562	237.88	310.78	0
t_n405	237.977	197.26	278.24	0
t_n406	195.564	145.98	241.91	0
t_n407	201.979	157.79	245.36	0
t_n408	176.98	132.28	221.67	0
t_n409	138.981	92.67	186.8	0
t_n410	244.735	206.42	283.54	0
t_n411	195.518	155.79	236.65	0
t_n412	167.852	129.37	209.01	0
t_n413	93.452	66.84	126.26	0
t_n414	55.675	38.25	77.98	0
t_n415	28.65	16.75	44.83	0
t_n416	31.108	16.15	51.42	0
t_n417	252.459	214.62	291.15	0
t_n418	210.613	170.28	252.09	0
t_n419	147.874	101.72	195.47	0
t_n420	127.28	86.47	173.99	0
t_n421	44.745	24.9	73.15	0
t_n422	162.555	126.64	204.07	0
t_n423	108.931	69.85	153.37	0
t_n424	1.218	0.43	2.58	0
t_n425	123.212	93.56	160.11	0
t_n426	76.579	59.46	97.21	0
t_n427	43.394	25.86	64.64	0
t_n428	67.39	51.39	86.74	0
t_n429	54.503	40.37	71.68	0
t_n430	45.1	32.1	61.1	0
t_n431	6.801	3.32	12.32	0
t_n432	0.193	0.01	0.62	0
t_n433	28.837	17.85	42.92	0
t_n434	0.478	0.09	1.36	0
t_n435	0.215	0.03	0.58	0
