Mean_time	Mean_qlow	Mean_qup	Priors
t_n376	171.309	141.35	206.56	0
t_n377	140.127	105.65	177.24	0
t_n378	110.461	77.97	147.55	0
t_n379	90.884	59.55	128.02	0
t_n380	30.26	16.02	51.72	0
t_n381	149.591	122.41	181.35	0
t_n382	125.613	96.9	158.04	0
t_n383	71.059	42.11	105.62	0
t_n384	33.401	21.75	49.02	0
t_n385	25.425	15.13	39.74	0
t_n386	123.501	97.98	153.22	0
t_n387	103.807	80.01	131.84	0
t_n388	64.969	43	91.23	0
t_n389	48.53	33.41	67.82	0
t_n390	38.53	25.05	56.35	0
t_n391	10.902	5.98	18.15	0
t_n392_Ammotheidae	304.905	268.25	342.55	0
t_n393	275.468	238.71	313.67	0
t_n394	151.001	93.09	213.25	0
t_n395	237.484	200.91	275.43	0
t_n396	115.823	70.68	168.86	0
t_n397	3.96	1.91	7.24	0
t_n398	205.558	169.62	243.36	0
t_n399	178.811	144.02	216.07	0
t_n400	142.239	109.97	177.8	0
t_n401	116.104	85.71	150.49	0
t_n402	54.841	34.06	81.37	0
t_n403	289.268	253.55	326.34	0
t_n404	272.9	237.3	309.85	0
t_n405	237.401	196.71	277.42	0
t_n406	195.088	145.44	241.39	0
t_n407	201.52	157.39	244.99	0
t_n408	176.577	131.95	221.26	0
t_n409	138.603	92.65	186.29	0
t_n410	244.134	206.11	282.82	0
t_n411	195.052	155.55	236.12	0
t_n412	167.442	129.02	208.6	0
t_n413	93.263	66.79	126.16	0
t_n414	55.545	38.14	77.88	0
t_n415	28.567	16.71	44.68	0
t_n416	31.076	16.13	51.43	0
t_n417	251.848	214.05	290.38	0
t_n418	210.135	169.64	251.25	0
t_n419	147.569	101.6	194.95	0
t_n420	126.94	86.15	173.49	0
t_n421	44.644	24.84	73.07	0
t_n422	162.26	126.49	203.54	0
t_n423	108.819	69.65	152.83	0
t_n424	1.217	0.43	2.57	0
t_n425	122.994	93.31	159.82	0
t_n426	76.505	59.41	97.17	0
t_n427	43.318	25.81	64.53	0
t_n428	67.318	51.35	86.77	0
t_n429	54.451	40.31	71.73	0
t_n430	45.068	32.01	61.14	0
t_n431	6.783	3.31	12.27	0
t_n432	0.193	0.01	0.62	0
t_n433	28.796	17.81	42.89	0
t_n434	0.477	0.09	1.36	0
t_n435	0.214	0.03	0.58	0
