Mean_time	Mean_qlow	Mean_qup	Priors
t_n376	256.913	137.14	467.83	0
t_n377	185.172	70.21	365.15	0
t_n378	132.14	33.82	287.72	0
t_n379	84.462	11.92	216.05	0
t_n380	40.473	1.13	140.99	0
t_n381	219.184	116	405.21	0
t_n382	165.582	62.72	326.86	0
t_n383	78.06	2.93	222.04	0
t_n384	105.31	18.05	248.21	0
t_n385	50.275	1.49	163.99	0
t_n386	179.478	81.15	341.1	0
t_n387	144.933	55.13	289.26	0
t_n388	68.695	2.72	195.73	0
t_n389	105.276	27.2	232.32	0
t_n390	68.082	9.56	176.55	0
t_n391	33.101	0.89	115.65	0
t_n392_Ammotheidae	345.928	167.98	513.9	0
t_n393	258.693	132.24	472.6	0
t_n394	110.158	4.47	302.39	0
t_n395	210.734	102.94	398.97	0
t_n396	130.462	24.14	293.52	0
t_n397	61.864	1.97	194.39	0
t_n398	167.122	67.51	328.45	0
t_n399	129.215	41.14	270.89	0
t_n400	93.982	21.75	217.03	0
t_n401	60.741	8.05	163.26	0
t_n402	29.597	0.78	106.38	0
t_n403	301.243	156.74	498.31	0
t_n404	248.429	135.29	450.02	0
t_n405	191.041	82.16	365.96	0
t_n406	88.511	3.42	248.01	0
t_n407	136.004	37.57	290.12	0
t_n408	87.304	12.8	218.77	0
t_n409	42.197	1.2	144.08	0
t_n410	202.532	99.33	376.81	0
t_n411	167.338	72	321.34	0
t_n412	135.627	50	273.66	0
t_n413	105.598	31.74	228.45	0
t_n414	77.233	17.02	183.65	0
t_n415	50.176	6.38	137.25	0
t_n416	24.524	0.65	88.51	0
t_n417	259.275	143.33	461.18	0
t_n418	187.715	72.87	367.16	0
t_n419	87.012	3.41	245.25	0
t_n420	117.944	20.36	273.03	0
t_n421	55.901	1.68	181.41	0
t_n422	227.434	126.55	409.72	0
t_n423	140.295	26.4	307.39	0
t_n424	66.356	2.16	205.94	0
t_n425	201.17	107.71	364.43	0
t_n426	178.644	90.51	326.51	0
t_n427	83.614	3.47	226.76	0
t_n428	155.57	72.77	291.63	0
t_n429	133.574	57.22	258.28	0
t_n430	112.321	43.41	224.69	0
t_n431	72.613	12.57	173.26	0
t_n432	35.204	1.11	116	0
t_n433	82.108	21.67	182.37	0
t_n434	53.419	7.7	138.33	0
t_n435	26.099	0.74	90.76	0
